sample_id,criterion_name,weight,method,elicitation_source
1,momentum_12_1,0.1153536902626822,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
1,volatility_annualized,0.13661640886980478,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
1,rolling_max_drawdown,0.09668604448104709,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
1,rolling_sortino,0.10756925919130235,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
1,avg_dollar_volume,0.06567423646099611,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
1,expense_ratio,0.10021425127218195,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
1,tracking_error_vs_category_benchmark,0.1049339040885235,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
1,beta_vs_category_benchmark,0.0831330801786484,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
1,marginal_correlation_to_selected_universe,0.11826182949077765,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
1,fund_age_months,0.03853003261166395,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
1,aum_usd,0.0330272630923721,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
2,momentum_12_1,0.15738643216579093,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
2,volatility_annualized,0.08304470758759697,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
2,rolling_max_drawdown,0.2114990680920389,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
2,rolling_sortino,0.11698698475509287,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
2,avg_dollar_volume,0.049150624638759396,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
2,expense_ratio,0.08660259809999543,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
2,tracking_error_vs_category_benchmark,0.09483079209031166,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
2,beta_vs_category_benchmark,0.04114854047276147,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
2,marginal_correlation_to_selected_universe,0.13251543288911483,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
2,fund_age_months,0.004355874177158386,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
2,aum_usd,0.02247894503137909,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
3,momentum_12_1,0.1150740404086079,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
3,volatility_annualized,0.15345316487135433,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
3,rolling_max_drawdown,0.24361414184802624,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
3,rolling_sortino,0.12319996632780988,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
3,avg_dollar_volume,0.03059838916275533,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
3,expense_ratio,0.05557095707338612,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
3,tracking_error_vs_category_benchmark,0.0979544494537358,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
3,beta_vs_category_benchmark,0.044370233175243586,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
3,marginal_correlation_to_selected_universe,0.05049779661037772,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
3,fund_age_months,0.02293105592395007,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
3,aum_usd,0.06273580514475308,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
4,momentum_12_1,0.10057762707066985,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
4,volatility_annualized,0.16176816238579572,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
4,rolling_max_drawdown,0.14033248540175028,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
4,rolling_sortino,0.07801671268787473,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
4,avg_dollar_volume,0.08095053291304329,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
4,expense_ratio,0.060272626919232214,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
4,tracking_error_vs_category_benchmark,0.14845886224132912,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
4,beta_vs_category_benchmark,0.09415857954259396,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
4,marginal_correlation_to_selected_universe,0.09996388520862352,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
4,fund_age_months,0.004907832543604055,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
4,aum_usd,0.030592693085483295,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
5,momentum_12_1,0.14406168548380008,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
5,volatility_annualized,0.1544550593913707,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
5,rolling_max_drawdown,0.19051568883354977,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
5,rolling_sortino,0.054705230156755394,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
5,avg_dollar_volume,0.03630529094239042,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
5,expense_ratio,0.0939582319832835,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
5,tracking_error_vs_category_benchmark,0.10180495732000062,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
5,beta_vs_category_benchmark,0.06419800258629983,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
5,marginal_correlation_to_selected_universe,0.07944414892073835,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
5,fund_age_months,0.007209080910525361,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
5,aum_usd,0.07334262347128585,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
6,momentum_12_1,0.11032544675933266,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
6,volatility_annualized,0.0722382948724322,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
6,rolling_max_drawdown,0.17288985760938352,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
6,rolling_sortino,0.10199799780968935,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
6,avg_dollar_volume,0.12328902728417009,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
6,expense_ratio,0.03416509426568771,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
6,tracking_error_vs_category_benchmark,0.10148910894725174,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
6,beta_vs_category_benchmark,0.08938729812699354,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
6,marginal_correlation_to_selected_universe,0.15990110472267657,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
6,fund_age_months,0.00838396992005317,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
6,aum_usd,0.025932799682329366,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
7,momentum_12_1,0.13176135349509208,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
7,volatility_annualized,0.05279205251628422,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
7,rolling_max_drawdown,0.20550462726825586,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
7,rolling_sortino,0.21097715172038045,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
7,avg_dollar_volume,0.08162637426737267,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
7,expense_ratio,0.01757294591182472,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
7,tracking_error_vs_category_benchmark,0.07246410536359098,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
7,beta_vs_category_benchmark,0.04811952645345154,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
7,marginal_correlation_to_selected_universe,0.15417465904149136,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
7,fund_age_months,0.01577875362982014,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
7,aum_usd,0.009228450332435897,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
8,momentum_12_1,0.09915674763876195,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
8,volatility_annualized,0.10682071746317155,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
8,rolling_max_drawdown,0.15814034367571794,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
8,rolling_sortino,0.06656087269783273,random_weight_sensitivity,Dirichlet perturbation centered on BWM_weights_main; no performance tuning.
